segment_id,relative_ms,sensor,r_m,theta_deg,gt_r_m,gt_theta_deg
1,0.0,R,1.273,-6.3,1.000,0.0
1,90.0,R,1.274,-6.4,1.000,0.0
1,180.0,R,1.274,-6.4,1.000,0.0
1,270.0,R,1.275,-6.4,1.000,0.0
1,360.0,R,1.274,-6.4,1.000,0.0
1,450.0,R,1.272,-6.2,1.000,0.0
1,540.0,R,1.267,-6.1,1.000,0.0
1,620.0,R,1.264,-5.8,1.000,0.0
1,710.0,R,1.257,-5.4,1.000,0.0
1,800.0,R,1.253,-4.9,1.000,0.0
1,890.0,R,1.253,-4.3,1.000,0.0
1,980.0,R,1.276,-1.7,1.000,0.0
1,1070.0,R,1.304,0.6,1.000,0.0
1,1160.0,R,1.293,0.2,1.000,0.0
1,1250.0,R,1.292,-0.1,1.000,0.0
1,1340.0,R,1.286,-1.4,1.000,0.0
1,1430.0,R,1.280,-2.2,1.000,0.0
1,1510.0,R,1.275,-2.5,1.000,0.0
1,1600.0,R,1.268,-2.8,1.000,0.0
1,1690.0,R,1.273,-2.8,1.000,0.0
1,1780.0,R,1.284,-3.1,1.000,0.0
1,1870.0,R,1.295,-2.8,1.000,0.0
1,1960.0,R,1.303,-2.6,1.000,0.0
1,2050.0,R,1.316,-2.8,1.000,0.0
1,2140.0,R,1.317,-3.3,1.000,0.0
1,2215.0,W,0.234,NAN,1.000,0.0
1,2230.0,R,1.315,-3.7,1.000,0.0
1,2320.0,R,1.315,-4.0,1.000,0.0
1,2400.0,R,1.306,-4.6,1.000,0.0
1,2490.0,R,1.305,-5.1,1.000,0.0
1,2580.0,R,1.304,-5.9,1.000,0.0
1,2670.0,R,1.308,-6.6,1.000,0.0
1,2742.0,W,0.000,NAN,1.000,0.0
1,2760.0,R,1.312,-7.2,1.000,0.0
1,2850.0,R,1.311,-7.3,1.000,0.0
1,2940.0,R,1.309,-7.2,1.000,0.0
1,3030.0,R,1.308,-7.3,1.000,0.0
1,3120.0,R,1.303,-7.3,1.000,0.0
1,3210.0,R,1.301,-7.2,1.000,0.0
1,3240.0,W,1.405,NAN,1.000,0.0
1,3290.0,R,1.300,-7.1,1.000,0.0
1,3380.0,R,1.298,-7.1,1.000,0.0
1,3470.0,R,1.294,-7.1,1.000,0.0
1,3560.0,R,1.292,-7.2,1.000,0.0
1,3650.0,R,1.293,-7.1,1.000,0.0
1,3740.0,R,1.293,-7.1,1.000,0.0
1,3752.0,W,1.874,NAN,1.000,0.0
1,3830.0,R,1.292,-6.8,1.000,0.0
1,3920.0,R,1.289,-6.8,1.000,0.0
1,4010.0,R,1.283,-6.5,1.000,0.0
1,4100.0,R,1.279,-6.2,1.000,0.0
1,4180.0,R,1.277,-5.9,1.000,0.0
1,4263.0,W,1.874,NAN,1.000,0.0
1,4270.0,R,1.272,-5.8,1.000,0.0
1,4360.0,R,1.267,-5.7,1.000,0.0
1,4450.0,R,1.262,-5.6,1.000,0.0
1,4540.0,R,1.260,-5.5,1.000,0.0
1,4630.0,R,1.258,-5.5,1.000,0.0
1,4720.0,R,1.257,-5.5,1.000,0.0
1,4776.0,W,1.874,NAN,1.000,0.0
1,4810.0,R,1.255,-5.5,1.000,0.0
1,4900.0,R,1.254,-5.5,1.000,0.0
1,4990.0,R,1.251,-5.5,1.000,0.0
1,5070.0,R,1.248,-5.4,1.000,0.0
1,5160.0,R,1.244,-5.3,1.000,0.0
1,5250.0,R,1.242,-5.4,1.000,0.0
1,5288.0,W,1.639,NAN,1.000,0.0
1,5340.0,R,1.241,-5.4,1.000,0.0
1,5430.0,R,1.240,-5.4,1.000,0.0
1,5520.0,R,1.241,-5.5,1.000,0.0
1,5610.0,R,1.242,-5.6,1.000,0.0
1,5700.0,R,1.243,-5.7,1.000,0.0
1,5790.0,R,1.243,-5.8,1.000,0.0
1,5800.0,W,1.874,NAN,1.000,0.0
1,5870.0,R,1.242,-5.8,1.000,0.0
1,5960.0,R,1.242,-5.8,1.000,0.0
1,6050.0,R,1.243,-5.9,1.000,0.0
1,6140.0,R,1.243,-6.0,1.000,0.0
1,6210.0,W,1.171,NAN,1.000,0.0
1,6230.0,R,1.243,-6.3,1.000,0.0
1,6320.0,R,1.245,-6.6,1.000,0.0
1,6410.0,R,1.246,-6.8,1.000,0.0
1,6500.0,R,1.249,-6.3,1.000,0.0
1,6590.0,R,1.250,-5.6,1.000,0.0
1,6680.0,R,1.250,-4.9,1.000,0.0
1,6721.0,W,0.703,NAN,1.000,0.0
1,6770.0,R,1.247,-3.9,1.000,0.0
1,6850.0,R,1.241,-0.6,1.000,0.0
1,6940.0,R,1.236,1.5,1.000,0.0
1,7030.0,R,1.234,1.4,1.000,0.0
1,7120.0,R,1.233,1.2,1.000,0.0
1,7210.0,R,1.233,0.8,1.000,0.0
1,7234.0,W,1.639,NAN,1.000,0.0
1,7300.0,R,1.233,0.5,1.000,0.0
1,7390.0,R,1.233,0.2,1.000,0.0
1,7480.0,R,1.232,0.0,1.000,0.0
1,7570.0,R,1.231,-0.2,1.000,0.0
1,7660.0,R,1.230,-0.3,1.000,0.0
1,7740.0,R,1.230,-0.5,1.000,0.0
