Executing action: monitor
Running idf_monitor in directory C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2
Executing "C:\Users\avina\.espressif\python_env\idf5.5_py3.12_env\Scripts\python.exe C:\Users\avina\esp\v5.5.2\esp-idf\tools/idf_monitor.py -p COM13 -b 115200 --toolchain-prefix xtensa-esp32s3-elf- --target esp32s3 --revision 0 C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2\build\polar_logger_v2.elf C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2\build\bootloader\bootloader.elf --force-color -m 'C:\Users\avina\.espressif\python_env\idf5.5_py3.12_env\Scripts\python.exe' 'C:\Users\avina\esp\v5.5.2\esp-idf\tools\idf.py' '-p' 'COM13'"...
ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x15 (USB_UART_CHIP_RESET),boot:0x28 (SPI_FAST_FLASH_BOOT)
Saved PC:0x40379c86
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x468
load:0x403c8700,len:0xa84
load:0x403cb700,len:0x26a8
entry 0x403c8874
R,0.441,-0.5,107
R,0.441,-0.8,202
R,0.443,-1.0,292
R,0.449,-1.1,382
R,0.459,-1.7,472
R,0.467,-2.6,562
R,0.476,-3.5,652
R,0.480,-4.2,742
R,0.481,-4.5,832
R,0.479,-4.6,912
R,0.474,-4.5,1002
R,0.472,-4.2,1092
R,0.469,-4.0,1182
R,0.467,-3.8,1272
R,0.467,-3.9,1362
R,0.469,-4.3,1452
R,0.473,-5.3,1542
R,0.479,-6.5,1632
R,0.485,-5.4,1722
R,0.494,-4.3,1802
R,0.506,-2.7,1892
R,0.528,-3.4,1982
R,0.608,-6.3,2072
R,0.739,-12.0,2162
R,0.818,-14.1,2252
R,0.902,-15.0,2342
R,1.003,-16.0,2432
W,0.000,NAN,2444
R,1.090,-16.7,2522
R,1.012,-16.4,2612
R,0.957,-16.0,2692
R,0.897,-15.6,2782
W,0.000,NAN,2854
R,0.801,-14.7,2872
R,0.700,-14.5,2962
R,0.613,-14.6,3052
R,0.550,-12.6,3142
R,0.532,-9.4,3232
R,0.551,-3.8,3322
W,0.000,NAN,3366
